,user_id,author,affiliation
133,-LjZjBYAAAAJ,Rachada Kongkachandra,Thammasat University
134,2f1eUr8AAAAJ,AJ Benjamin Clarke,"Department of English and Linguistics, Thammasat University, Thailand"
135,J-2GSGUAAAAJ,"Kewalin Inthanon, PhD, MPhil.","Biotechnology, Faculty of Science and Technology, Thammasat University"
136,Gwc1_EMAAAAJ,Woraphon Wattanatorn,Thammasat University
137,IzGKIBkAAAAJ,Supakit Prueksaaroon,"Faculty of Engineering, Thammasat University"
138,91z1Tv8AAAAJ,Prapaporn Rattanatamrong,"Computer Science, Thammasat University"
139,eyIlf_4AAAAJ,Sarun Gulyanon,Thammasat University
140,e-JEPVoAAAAJ,Panya Issarawornrawanich,"Thammasat Business School, Thammasat University"
141,X0V5Y3QAAAAJ,Monthon Sorakraikitikul,Thammasat Business School
142,PydiLw4AAAAJ,Chanintira na Thalang,Thammasat University
143,ULsutnMAAAAJ,Peerasak Intarapaiboon,Thammasat University
144,zXscJoAAAAAJ,Neramitr Chirakanphaisarn,Thammasat University
145,OFO6l_gAAAAJ,Rangsiman Soonthornchaiya,Thammasat university
146,_xTQ204AAAAJ,Kesorn Suwanprasert,Faculty of Medicine Thammasat University
147,7zY04eEAAAAJ,Asst.Prof.Dr.Kongkoon Tochaiwat,"Thammasat University, Thailand"
148,X4m6MKgAAAAJ,Monvika Phadoongsitthi,"Thammasat Business School, Thammasat University"
149,yzNFy8cAAAAJ,Bhawat Traipattanakul,Sirindhorn International Institute of Technology
150,KJWyA3sAAAAJ,Monthon Kanokpermpoon,"Lecturer in TESOL, Language Institute, Thammasat University"
151,9SEyR-8AAAAJ,Suntichai Kotcharin,Thammasat University
152,G35ltCcAAAAJ,Arslan Khalid,"Sirindhorn International Institute of Technology, Thammasat University, Thailand"
153,qQJDFmEAAAAJ,Pattarin Pirompanich,Thammasat University
154,J-TTqwQAAAAJ,Chalirmporn Atasilp,Thammasat University
155,G3WUmckAAAAJ,Asst.Prof. Dr. Tanatorn Tanantong,"Department of Computer Science, Thammasat University"
156,N5APA98AAAAJ,Wasit Limprasert,Thammasat University
157,qKEumTMAAAAJ,Assoc. Prof. Dr. Nidtaya Takviriyanun,"Faculty of Nursing, Thammasat University"
158,0axTu80AAAAJ,Winchana Srivilaithon,Thammasat University
159,8cHPaJgAAAAJ,Yukti Mukdawijitra,"Faculty of Sociology and Anthropology, Thammasat University"
160,9oCT6R0AAAAJ,Piyaphong Panpisut,"Faculty of Dentistry, Thammasat University"
161,Uaa1KsoAAAAJ,Ali Turab,Thammasat University
162,29a2yH0AAAAJ,W. Marurngsith (Diaz Carballo),"Assistant Professor of Computer Science, Thammasat University"
163,ItLUYmwAAAAJ,Warut Pannakkong,"Sirindhorn International Institute of Technology, Thammasat University"
164,XXllPi4AAAAJ,"Irfan Ahmad, PhD","SIIT, Thammasat University"
165,dJU_ZQMAAAAJ,Wilaiporn Kotbungkair,Thammasat University
166,4JcGoFYAAAAJ,"Asst. Prof. Pimonmart Wankanapon, PhD","Faculty of Architecture and Planning,Thammasat University"
167,bcJvUQUAAAAJ,Pornraht Pongprasert,"Lecturer, Real Estate Business Department, Thammasat Business School, Thammasat …"
168,pvCnCF0AAAAJ,Nunthika Puthikanon,Thammasat University
169,MX7TAskAAAAJ,Tipsuda Chaipiboonwong ( ทิพย์สุดา ไชยไพบูลย์วงศ์ ),"Department of Physics, Thammasat University"
170,dFNZTekAAAAJ,Natenapha Yabushita,Thammasat Business School
